ID;Question
1;Как зовут лодочника на реке Стикс в древнегреческой мифологии?
2;Как в химии обозначается свинец?
3;Какой химический элемент преобладает в составе каменного угля?
4;Кто из перечисленных был пажом во времена Екатерины II?
5;Когда началась 2 мировая война?
6;Какая эра геологической истории Земли относится к настоящему времени?
7;Кто из животных может мурлыкать?
8;Что из перечисленного НЕ входит в национальную русскую кухню?
9;Какой из этих мультфильмов повествует о реально существовавшей собаке?
10;Кто написал повесть «Муму»
11;Что такое кульверт?
12;В какой воде меньше содержание примесей?
13;Сколько музыкантов в квинтете
14;Кругом вода, а посредине закон. Что это такое?
15;В каком году началась первая мировая война?
16;Сергей Шнуров, в одном из интервью, сравнил свою жену с героиней картины
17;Какой цвет не относится к панафриканским?
18;В каком году была разработана первая КОМПЬЮТЕРНАЯ игра?
19;Сколько месяцев в году имеют 28 дней?
20;С какого года, столицой России стал Санкт-Петербург?
21;Как называется часть речи, обладающая свойствами глагола и прилагательного?
22;Дата основания Санкт-Петербурга
23;Когда была запущена «Википедия»?
24;Не торопливые прогулки по подиуму
25;Что такое алопеция?
26;В каком возрасте умерла Мэрилин Монро
27;Что доставал из широких штанин Владимир Маяковский в своем стихотворении?
28;Какой из этих языков не принадлежит к тюрскской языковой группе?
29;Кто разработал теорию гелиоцентрической системы мира?
30;Кто напал на СССР?
31;Какие племена в основном населяли нынешнюю территорию Франции?
32;От какой болезни не защищает прививка АДС-М?
33;Что из перечисленного то же самое, что и оттоманка?
34;Когда последний раз сборная России по хоккею выигрывала Олимпиаду?
35;Сколько химических элементов в таблице менделеева
36;как звали отца Соловья-разбойника?
37;Какая самая большая планета солнечной системы?
38;день рождения Владимира Владимировича Путина
39;Сколько разновидностей мух существует?
40;Когда в европейских странах празднуют день рождения Мишки Тедди?
41;Что означает h - в физике
42;Где находится яд у кобры?
43;Кто является нынешним президентом Армении?
44;Кто из игроков НБА является лидером по очкам за карьеру?
45;Как называют коренных жителей города Пенза?
46;Как зовут создателя паровой машины?
47;Найди логику я папа папы
48;В какой стране находится самое большое здание в мире?
49;Сколько всего пальцев на лапах у кошек?
50;Сколько лет в году?
51;Кто такой Иван Гай
52;При каком князе произошло крещение Руси?
53;Сколько по времени ферментируется чеснок ?
54;Назовите фамилию овцевода который в 1840 году исследовал южное побережье Австралии.
55;Какое настоящее имя певицы Елки?
56;Сколько котов проживало в поместье Эрнеста Хэмингуэя в 1957 году?
57;Самая яркая звезда после Солнца.
58;Что из перечисленного не являлось крестражем Волан-де-Морта?
59;На каком флаге изображена жёлтая звезда на красном фоне?
60;Какое имя у Ханны Монтаны, когда она простая школьница-подросток?
61;"Из какого фильма пошло крылатое выражение ""Ну, вы, блин, даете!"""
62;Самая старая религия
63;В каком городе есть улица Хворостухина?
64;Сколько всего было выпущено серий сериала «Санта-Барбара»?
65;В каком году был поход Руси на Константинополь?
66;В каком году умер царевич Алексей Петрович?
67;Сколько мыщц у человека в руке?
68;В честь какого мореплавателя были названы командорские острова
69;Какой из упомянутых городов НЕ находится в Казахстане?
70;В каком году была впервые опубликована «Книга рекордов Гиннесса»?
71;Как звали ручную обезьянку Майкла Джексона?
72;Сколько зубов у собаки?
73;Организация, учреждённая в 2001 году в Сингапуре?
74;Какое из этих двудольных растений не относится к семейству Бобовые?
75;Кто получил первую Нобелевская премию по физике?
76;Ноль — это четное или нечетное число?
77;Как называется место на берегу, где обитают тюлени?
78;Когда был принят манифест об отмене крепостного права в России?
79;Какую воду следует пить при работе в горячих цехах?
80;Какой ногой Кристиано Роналдо пробивает штрафные
81;Кто первый изобрел телескор
82;Что можно купить за клеверсы?
83;Твёрдый наружный покров насекомых
84;Как называется спин-офф «Сумерки»?
85;Сколько видущих в программе Клевер?
86;Когда началась стадия бета-тестирования ВКонтакте.?
87;В германо-скандинавской мифологии кто был отцом Одина?
88;Какая компания в 1887 году выпустила первое японское пианино?
89;Сколько клубов играет в Bundesliga?
90;Как зовут самую лучшую подружку Ленючевой Екатерины Юрьевны?1)Маргарита2)Алсу3)Амалия4)Айсылу
91;Кто ковал молнии Зевсу?
92;Какой город не является столицей одной из прибалтийских стран?
93;В каком году было крещение руси?
94;Что сказал Юрий Гагарин, когда стартовал в космос?
95;Кто такой Лафей по скандинавской мифологии?
